otu	Domain	Phylum	Class	Order	Family	Genus	Species
99662305c542573e4ee7bb6df4b0a9b3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe agglutinata
a86030906e60b598b0df5384aa221c4e	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza ostracoderma
e3251d8c47b2750165d484f3a0bedb5e	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	
c0a5a0a68379908308b882b9b94eb6f3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora phyllostachydis
bb9a26e2a569e77307e5a7954f8ccdbc	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Phragmocamarosporium	
5dc4586a67976f79d99afee365c07836	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	Geopora cooperi
152bbbdc7636b4c63ab60e2a81b978cd	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
0f5150ede6275080c690a5aeafa9509e	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella galzinii
bad8402996ca5d6245aa0fd526c30c66	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycenella	Mycenella bryophila
e089e21cc56347ef8b58eeb0658176fc	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius infractus
07d31db1a767c39bdb4c4269196a0667	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella pilosa
2b5e28fe61dc91469830b92e6ed3a3c0							
a9e6a457da6b9b093cb2208d1bba5952	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium nodositatum
1e82afb18535199c2b0e7a80bd0a53ee	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe columnaris
0fef535c4009a2dc05a180fd317878db	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	
44ea93216e8622d85d42f9be5ae24e0a	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
814a585d1cfef349d72148e43b9c8174	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe pseudodestricta
bc1e83c5255e164b7b029045fb7ab740							
208325ab1ded12580a111bf7ba1ab0b9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena aurantiomarginata
7b7a0888d40e256e5256b516ab77239a	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	
01c8515cf250ec97739175d4397768ca	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella coerulea
5f5dcad895457bd1a2158def4d551a59	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber rufum
3dc18563879b85d3ba5304573b27a4d5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Trichopezizella	
2e4acca90db0faa5474e60644c10a5d3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius imbutus
a0d75f47227f332e6b90ac277cb24eb2	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
22cd47a6b058b9e6377d37ec74e538a0	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
10d03fdcb2314d5024a5aae9547a5e86	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
68cb6f12ba4d08df1b3f75e77684bac2	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
c29b7cc29c963a59107e168edcc93358	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius tenebricus
