"","otu","Domain","Phylum","Class","Order","Family","Genus","Species","TaxClass","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df","Sig"
"3569","b9918dc54711ef15e64a78a0684da443","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA,"Mortierella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3570","c11597e916a0652e000ed8a0eedf2594","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria",NA,"Ilyonectria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3571","c1a45f9cd27dbddcea0ec6cfc82c4a2f","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae",NA,NA,"Helotiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3572","c65e5fa98cf0e0d490953d5aee014f80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3573","c6ae8816a641fdd2909c82fe11eaf008","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Hypomyces","Hypomyces luteovirens","Hypomyces luteovirens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3574","c6fd7777e262606955a69b5e33421700","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Lophotrichus","Lophotrichus fimeti","Lophotrichus fimeti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3575","c9be92f6ab4c8c533cb5e225e7b92ba9","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"Pleosporales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3576","cb55e6cdaa94e4172e7cf18ff372d558","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae",NA,NA,"Teratosphaeriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3577","cc1616e6c61bb17093c10c7d300fbe1b","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA,"Hypocreales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3578","cc16c6c10d008f2dfe6b59b288d5cf16","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"Pleosporales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3579","ccc9c182caf09e2020f0887878485aa7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3580","cd9452d561e718dc2cbcfe015b09fdd4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella",NA,"Psathyrella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3581","cdb9ff3329823a7edfb0cc3359cfc7f3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales fam Incertae sedis","Cryptocoryneum",NA,"Cryptocoryneum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3582","d44b45085b800c960ceb9b39e4667fc6","Fungi","Basidiomycota","Agaricomycetes","Atheliales",NA,NA,NA,"Atheliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3583","d74659889c9ebe186c984cf88cca1b1d","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium",NA,"Schizothecium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3584","dc040acfe107acb5ea3a381ebc46a671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3585","dfb6d38195f44945c16106c58268d49d","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma radicina","Paraphoma radicina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3586","e1d2c38a69ac7504a7ef2b9721798748","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales",NA,NA,NA,"Agaricostilbales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3587","e2badede71401eeea9f014104d8703db",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3588","e2c58a915cf5233f68f0bb12c73ec0a5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3589","e9ae553fa284f1287b505d44c1993d19","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Echinoderma","Echinoderma asperum","Echinoderma asperum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3590","eb33b8e4cdcc0cbec728d366d35616bd","Alveolata","Ciliophora","Litostomatea",NA,NA,NA,NA,"Litostomatea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3591","ebca5de2ee71e0c516394ec41310eab7","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae",NA,NA,"Melanommataceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3592","f0e9ef2fe2abbadfe2969fff869e468b","Fungi","Ascomycota","Sordariomycetes","Xylariales","Coniocessiaceae","Paraxylaria","Paraxylaria rosacearum","Paraxylaria rosacearum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3593","f340e949bc069e8ce122c72454a8f055","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"Helotiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3594","f385b573b3d2eb41a6a3b8455e9a09eb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
