Predictor	%IncMSE	Response	estimate	std.error	statistic	p.value
NaConc	3.9384109549290973	Eurotiomycetes	-0.9149409822000956	3.7056607508582178	-0.24690360065696745	0.8053953803047267
NConc	-0.28497946595957385	Eurotiomycetes	60.53907816875624	54.49458196779291	1.1109192140337127	0.2688198174940256
NO3Flux	12.023123663596698	Glomeromycetes	-1.5501654072975712	0.8242469471102061	-1.8807050638554639	0.06221548064606869
NH4Flux	-0.3154296993759092	Glomeromycetes	13.606861917402208	15.440996960401861	0.8812165401169848	0.37988802431236846
CaFlux_MgFlux_SFlux	0.8863375858737214	Glomeromycetes	47.93949157420713	21.28411716878881	2.252359879154676	0.025962015497765598
KFlux	6.8659621778479645	Glomeromycetes	-0.6533147290474282	0.23797838380653907	-2.7452692072172846	0.006902084725539653
PFlux	5.060615969748749	Glomeromycetes	-4.944254808203427	2.9557484645218275	-1.6727589872920037	0.09674357032586832
FeFlux	3.5348218376061267	Glomeromycetes	78.99765112737474	25.40547162786423	3.1094739072165716	0.0023012106273329123
CuFlux	5.22412458116955	Glomeromycetes	-1776.045855449843	549.5283990489709	-3.2319455346138932	0.0015557574459425195
GrassCover_FeConc	10.535436953265366	Glomeromycetes	119.82053283953499	31.159305031317636	3.8454173711225463	2.3640881485924813e-4
ShrubCover	0.8469003998310911	Glomeromycetes	3.654677741602144	3.4999747978206437	1.044201159356299	0.29938148933348113
ForbCover_PConc	6.640044923977561	Glomeromycetes	-60.67669267214718	44.66419344077761	-1.358508639646685	0.18151433690557536
pHConc_BaseSatConc	4.872645239319216	Glomeromycetes	13.351146190046093	28.38845597792924	0.47030194951166115	0.6389851527252142
CECConc_CaConc_TOCConc	4.218800409234644	Glomeromycetes	-35.81927880828649	24.339875600090814	-1.4716294937905454	0.14397336651653056
KConc	6.273201025700584	Glomeromycetes	-0.32004184265432467	0.16641384181417368	-1.9231684045351227	0.05662548366703011
MgConc	3.8764020166482456	Glomeromycetes	0.19818626371296824	0.4216831496268929	0.4699885776520222	0.6392319221843131
NaConc	2.671690104091796	Glomeromycetes	17.058919570907523	8.842856060380365	1.9291187659763573	0.0558626513599514
NConc	2.2904326788730622	Glomeromycetes	-86.36761897202527	132.35498037682316	-0.652545289388666	0.5151968187625477
MACmoist	3.712719126432008	Agaricomycetes	-462830.3448621037	192855.0397482154	-2.399887218225452	0.018756294202754875
meanmoist	3.991421210133409	Agaricomycetes	9375.283443177863	6718.461828908146	1.3954508757998692	0.16751494866261066
meansoiltemp	-0.3464717069924659	Agaricomycetes	458.2176235581153	344.1111811913595	1.3315976015998778	0.1970684523955749
MACmoist	1.7226781472656698	Leotiomycetes	-87128.26739891982	86235.33086343032	-1.0103546484549775	0.31541013482494057
meanmoist	-4.525896096538488	Leotiomycetes	-1271.6379102586745	3013.072551311765	-0.42204025578642534	0.6741974294340902
meansoiltemp	5.037608366797425	Leotiomycetes	-284.7720374782618	148.14442784660937	-1.922259524827477	0.06921676411695486
MACmoist	0.03587809524230111	Dothideomycetes	148303.4676568497	121066.41537086265	1.2249761191206645	0.2242830141566078
meanmoist	1.0047935613589145	Dothideomycetes	741.3581347034981	4225.706221836177	0.17544005564621554	0.8612293805952018
meansoiltemp	7.588219946369569	Dothideomycetes	582.8216529019644	156.28938484208606	3.729118605789153	3.5990430754724063e-4
MACmoist	9.371021912265	Pezizomycetes	184098.8892760919	176485.5703691176	1.04313847806963	0.30010412675062165
meanmoist	3.9817913429243523	Pezizomycetes	-2694.6333100765055	6245.2499324999935	-0.43146925090279536	0.6673032135988717
meansoiltemp	-0.06848021005460941	Pezizomycetes	-237.73841704247357	363.3307589728637	-0.6543305546564795	0.5165064278877542
MACmoist	-1.921797977511869	Sordariomycetes	19998.938306472803	69469.91515182238	0.28787912383031283	0.7742258676514634
meanmoist	-0.7058489780839973	Sordariomycetes	-5838.967293733233	2186.392915093186	-2.6705937681308174	0.010705125088532106
meansoiltemp	0.6799741670071527	Sordariomycetes	125.52151320873575	118.65572295806261	1.0578631192791246	0.30297277478072593
MACmoist	0.7634765126413711	Eurotiomycetes	-12393.846833727588	12468.319576585483	-0.9940270425055715	0.32325598149834445
