Plot	HA2	HA3	HA4	HA5	HB1	HB2	HB3	HB4	HB5	HC1	HC2	HC3	HC4	HC5	MA1	MA2	MA3	MA4	MA5	MB1	MB2	MB3	MB4	MB5	MC1	MC2	MC3	MC4	MC5	RA1	RA2	RA3	RA4	RA5	RB1	RB2	RB3	RB4	RB5	RC1	RC2	RC3	RC4	RC5	HA1
HC1	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	0	30	45	60	90	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	3396.341528158926
HC2	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	30	0	15	30	60	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	3396.341528158926
HC3	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	45	15	0	15	45	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	3396.341528158926
HC4	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	60	30	15	0	30	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	3396.341528158926
HC5	3396.341528158926	3396.341528158926	3396.341528158926	3396.341528158926	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	2916.770699792504	90	60	45	30	0	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	1185.9158299703563	3396.341528158926
MA1	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	0	30	45	60	90	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	1288.0570788482844
MA2	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	30	0	15	30	60	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	1288.0570788482844
MA3	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	45	15	0	15	45	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	1288.0570788482844
MA4	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	60	30	15	0	30	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	1288.0570788482844
MA5	1288.0570788482844	1288.0570788482844	1288.0570788482844	1288.0570788482844	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	1448.042054389002	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	4054.840521768328	90	60	45	30	0	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	4379.104834451641	1288.0570788482844
